"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"J1650,""PAD_6"",""149mm"",""124.249mm"",""149mm"",""124.249mm"",""149mm"",""124.249mm"",""T"",""90.00"",""PIN"""
"J1649,""PAD_6"",""148mm"",""122.517mm"",""148mm"",""122.517mm"",""148mm"",""122.517mm"",""T"",""90.00"",""PIN"""
"J1648,""PAD_6"",""149mm"",""120.785mm"",""149mm"",""120.785mm"",""149mm"",""120.785mm"",""T"",""90.00"",""PIN"""
"J1647,""PAD_6"",""149mm"",""117.321mm"",""149mm"",""117.321mm"",""149mm"",""117.321mm"",""T"",""90.00"",""PIN"""
"J1646,""PAD_6"",""148mm"",""112.124mm"",""148mm"",""112.124mm"",""148mm"",""112.124mm"",""T"",""90.00"",""PIN"""
"J1645,""PAD_6"",""149mm"",""106.928mm"",""149mm"",""106.928mm"",""149mm"",""106.928mm"",""T"",""90.00"",""PIN"""
"J1644,""PAD_6"",""148mm"",""105.196mm"",""148mm"",""105.196mm"",""148mm"",""105.196mm"",""T"",""90.00"",""PIN"""
"J1643,""PAD_6"",""149mm"",""96.536mm"",""149mm"",""96.536mm"",""149mm"",""96.536mm"",""T"",""90.00"",""PIN"""
"J1642,""PAD_6"",""148mm"",""94.804mm"",""148mm"",""94.804mm"",""148mm"",""94.804mm"",""T"",""90.00"",""PIN"""
"J1641,""PAD_6"",""149mm"",""89.608mm"",""149mm"",""89.608mm"",""149mm"",""89.608mm"",""T"",""90.00"",""PIN"""
"J1640,""PAD_6"",""149mm"",""82.679mm"",""149mm"",""82.679mm"",""149mm"",""82.679mm"",""T"",""90.00"",""PIN"""
"J1639,""PAD_6"",""148mm"",""77.483mm"",""148mm"",""77.483mm"",""148mm"",""77.483mm"",""T"",""90.00"",""PIN"""
"J1638,""PAD_6"",""149mm"",""72.287mm"",""149mm"",""72.287mm"",""149mm"",""72.287mm"",""T"",""90.00"",""PIN"""
"J1637,""PAD_6"",""148mm"",""70.555mm"",""148mm"",""70.555mm"",""148mm"",""70.555mm"",""T"",""90.00"",""PIN"""
"J1636,""PAD_6"",""149mm"",""68.823mm"",""149mm"",""68.823mm"",""149mm"",""68.823mm"",""T"",""90.00"",""PIN"""
"J1635,""PAD_6"",""148mm"",""67.091mm"",""148mm"",""67.091mm"",""148mm"",""67.091mm"",""T"",""90.00"",""PIN"""
"J1634,""PAD_6"",""149mm"",""65.359mm"",""149mm"",""65.359mm"",""149mm"",""65.359mm"",""T"",""90.00"",""PIN"""
"J1633,""PAD_6"",""148mm"",""63.627mm"",""148mm"",""63.627mm"",""148mm"",""63.627mm"",""T"",""90.00"",""PIN"""
"J1632,""PAD_6"",""148mm"",""60.163mm"",""148mm"",""60.163mm"",""148mm"",""60.163mm"",""T"",""90.00"",""PIN"""
"J1631,""PAD_6"",""147mm"",""138.105mm"",""147mm"",""138.105mm"",""147mm"",""138.105mm"",""T"",""90.00"",""PIN"""
"J1630,""PAD_6"",""146mm"",""132.909mm"",""146mm"",""132.909mm"",""146mm"",""132.909mm"",""T"",""90.00"",""PIN"""
"J1629,""PAD_6"",""147mm"",""127.713mm"",""147mm"",""127.713mm"",""147mm"",""127.713mm"",""T"",""90.00"",""PIN"""
"J1628,""PAD_6"",""146mm"",""125.981mm"",""146mm"",""125.981mm"",""146mm"",""125.981mm"",""T"",""90.00"",""PIN"""
"J1627,""PAD_6"",""147mm"",""124.249mm"",""147mm"",""124.249mm"",""147mm"",""124.249mm"",""T"",""90.00"",""PIN"""
"J1626,""PAD_6"",""146mm"",""122.517mm"",""146mm"",""122.517mm"",""146mm"",""122.517mm"",""T"",""90.00"",""PIN"""
"J1625,""PAD_6"",""146mm"",""119.053mm"",""146mm"",""119.053mm"",""146mm"",""119.053mm"",""T"",""90.00"",""PIN"""
"J1624,""PAD_6"",""147mm"",""113.856mm"",""147mm"",""113.856mm"",""147mm"",""113.856mm"",""T"",""90.00"",""PIN"""
"J1623,""PAD_6"",""147mm"",""110.392mm"",""147mm"",""110.392mm"",""147mm"",""110.392mm"",""T"",""90.00"",""PIN"""
"J1622,""PAD_6"",""146mm"",""108.66mm"",""146mm"",""108.66mm"",""146mm"",""108.66mm"",""T"",""90.00"",""PIN"""
"J1620,""PAD_6"",""147mm"",""100mm"",""147mm"",""100mm"",""147mm"",""100mm"",""T"",""90.00"",""PIN"""
"J1618,""PAD_6"",""147mm"",""96.536mm"",""147mm"",""96.536mm"",""147mm"",""96.536mm"",""T"",""90.00"",""PIN"""
"J1617,""PAD_6"",""147mm"",""93.072mm"",""147mm"",""93.072mm"",""147mm"",""93.072mm"",""T"",""90.00"",""PIN"""
"J1616,""PAD_6"",""147mm"",""86.144mm"",""147mm"",""86.144mm"",""147mm"",""86.144mm"",""T"",""90.00"",""PIN"""
"J1615,""PAD_6"",""146mm"",""84.412mm"",""146mm"",""84.412mm"",""146mm"",""84.412mm"",""T"",""90.00"",""PIN"""
"J1614,""PAD_6"",""147mm"",""82.679mm"",""147mm"",""82.679mm"",""147mm"",""82.679mm"",""T"",""90.00"",""PIN"""
"J1613,""PAD_6"",""146mm"",""80.947mm"",""146mm"",""80.947mm"",""146mm"",""80.947mm"",""T"",""90.00"",""PIN"""
"J1612,""PAD_6"",""147mm"",""79.215mm"",""147mm"",""79.215mm"",""147mm"",""79.215mm"",""T"",""90.00"",""PIN"""
"J1611,""PAD_6"",""146mm"",""74.019mm"",""146mm"",""74.019mm"",""146mm"",""74.019mm"",""T"",""90.00"",""PIN"""
"J1610,""PAD_6"",""146mm"",""67.091mm"",""146mm"",""67.091mm"",""146mm"",""67.091mm"",""T"",""90.00"",""PIN"""
"J1609,""PAD_6"",""147mm"",""61.895mm"",""147mm"",""61.895mm"",""147mm"",""61.895mm"",""T"",""90.00"",""PIN"""
"J1608,""PAD_6"",""147mm"",""58.431mm"",""147mm"",""58.431mm"",""147mm"",""58.431mm"",""T"",""90.00"",""PIN"""
"J1607,""PAD_6"",""144mm"",""143.301mm"",""144mm"",""143.301mm"",""144mm"",""143.301mm"",""T"",""90.00"",""PIN"""
"J1606,""PAD_6"",""144mm"",""136.373mm"",""144mm"",""136.373mm"",""144mm"",""136.373mm"",""T"",""90.00"",""PIN"""
"J1605,""PAD_6"",""145mm"",""134.641mm"",""145mm"",""134.641mm"",""145mm"",""134.641mm"",""T"",""90.00"",""PIN"""
"J1604,""PAD_6"",""144mm"",""132.909mm"",""144mm"",""132.909mm"",""144mm"",""132.909mm"",""T"",""90.00"",""PIN"""
"J1603,""PAD_6"",""144mm"",""125.981mm"",""144mm"",""125.981mm"",""144mm"",""125.981mm"",""T"",""90.00"",""PIN"""
"J1602,""PAD_6"",""145mm"",""124.249mm"",""145mm"",""124.249mm"",""145mm"",""124.249mm"",""T"",""90.00"",""PIN"""
"J1601,""PAD_6"",""144mm"",""122.517mm"",""144mm"",""122.517mm"",""144mm"",""122.517mm"",""T"",""90.00"",""PIN"""
"J1600,""PAD_6"",""145mm"",""120.785mm"",""145mm"",""120.785mm"",""145mm"",""120.785mm"",""T"",""90.00"",""PIN"""
"J1599,""PAD_6"",""144mm"",""119.053mm"",""144mm"",""119.053mm"",""144mm"",""119.053mm"",""T"",""90.00"",""PIN"""
"J1598,""PAD_6"",""145mm"",""113.856mm"",""145mm"",""113.856mm"",""145mm"",""113.856mm"",""T"",""90.00"",""PIN"""
"J1590,""PAD_6"",""144mm"",""80.947mm"",""144mm"",""80.947mm"",""144mm"",""80.947mm"",""T"",""90.00"",""PIN"""
"J1589,""PAD_6"",""145mm"",""79.215mm"",""145mm"",""79.215mm"",""145mm"",""79.215mm"",""T"",""90.00"",""PIN"""
"J1588,""PAD_6"",""144mm"",""77.483mm"",""144mm"",""77.483mm"",""144mm"",""77.483mm"",""T"",""90.00"",""PIN"""
"J1587,""PAD_6"",""144mm"",""70.555mm"",""144mm"",""70.555mm"",""144mm"",""70.555mm"",""T"",""90.00"",""PIN"""
"J1586,""PAD_6"",""144mm"",""63.627mm"",""144mm"",""63.627mm"",""144mm"",""63.627mm"",""T"",""90.00"",""PIN"""
"J1585,""PAD_6"",""145mm"",""61.895mm"",""145mm"",""61.895mm"",""145mm"",""61.895mm"",""T"",""90.00"",""PIN"""
"J1584,""PAD_6"",""142mm"",""143.301mm"",""142mm"",""143.301mm"",""142mm"",""143.301mm"",""T"",""90.00"",""PIN"""
"J1583,""PAD_6"",""143mm"",""141.569mm"",""143mm"",""141.569mm"",""143mm"",""141.569mm"",""T"",""90.00"",""PIN"""
"J1582,""PAD_6"",""142mm"",""139.837mm"",""142mm"",""139.837mm"",""142mm"",""139.837mm"",""T"",""90.00"",""PIN"""
"J1581,""PAD_6"",""142mm"",""129.445mm"",""142mm"",""129.445mm"",""142mm"",""129.445mm"",""T"",""90.00"",""PIN"""
