       x [mm]         y [mm]         z [mm]     KxRe [A/m]     KyRe [A/m]     KzRe [A/m]     KxIm [A/m]     KyIm [A/m]     KzIm [A/m]    Area [mm^2]  
      4.84848       -8.78788              0              0              0              0              0              0              0       0.413223
      4.24242       -9.39394              0              0              0              0              0              0              0       0.413223
      4.84848       -9.69697              0              0              0              0              0              0              0       0.413223
      4.24242            -10      -0.606061              0              0              0              0              0              0       0.413223
      4.84848            -10       -0.30303              0              0              0              0              0              0       0.413223
      4.24242            -10       -1.51515              0              0              0              0              0              0       0.413223
      4.84848            -10       -1.21212              0              0              0              0              0              0       0.413223
      4.24242            -10       -2.42424              0              0              0              0              0              0       0.413223
      4.84848            -10       -2.12121              0              0              0              0              0              0       0.413223
      4.24242            -10       -3.33333              0              0              0              0              0              0       0.413223
      4.84848            -10        -3.0303              0              0              0              0              0              0       0.413223
      4.24242            -10       -4.24242              0              0              0              0              0              0       0.413223
      4.84848            -10       -3.93939              0              0              0              0              0              0       0.413223
      4.84848            -10       -4.84848              0              0              0              0              0              0       0.413223
      5.15152            -10       -4.24242              0              0              0              0              0              0       0.413223
      5.75758            -10       -4.84848              0              0              0              0              0              0       0.413223
      6.06061            -10       -4.24242              0              0              0              0              0              0       0.413223
      6.66667            -10       -4.84848              0              0              0              0              0              0       0.413223
       6.9697            -10       -4.24242              0              0              0              0              0              0       0.413223
      7.57576            -10       -4.84848              0              0              0              0              0              0       0.413223
      7.87879            -10       -4.24242              0              0              0              0              0              0       0.413223
      8.48485            -10       -4.84848              0              0              0              0              0              0       0.413223
      8.78788            -10       -4.24242              0              0              0              0              0              0       0.413223
      9.39394            -10             -5              0              0              0              0              0              0       0.413223
      9.69697            -10       -4.57071              0              0              0              0              0              0       0.378788
           10       -9.69697       -5.42929              0              0              0              0              0              0       0.378788
           10       -9.39394             -5              0              0              0              0              0              0       0.413223
           10       -8.48485       -5.15152              0              0              0              0              0              0       0.413223
           10       -8.78788       -4.84848              0              0              0              0              0              0       0.413223
           10       -7.57576       -4.24242              0              0              0              0              0              0       0.413223
           10       -7.87879       -3.93939              0              0              0              0              0              0       0.413223
           10       -6.66667       -3.33333              0              0              0              0              0              0       0.413223
